,player_name,team_name,primary_position,player_season_90s_played,player_season_obv_90,player_season_obv_pass_90,player_season_obv_shot_90,player_season_obv_defensive_action_90,player_season_obv_dribble_carry_90,player_season_obv_gk_90,player_season_np_xg_90
78,Lebohang Kgosana Maboe,Mamelodi Sundowns FC,Right Centre Midfielder,7.709259,0.022840781,0.02699442,-0.081330284,0.027679821,0.049496803,,0.102581516
79,Denis Masinde Onyango,Mamelodi Sundowns FC,Goalkeeper,5.8227777,0.14029907,0.08147102,,,0.08021906,-0.021391008,0.0
80,Khuliso Johnson Mudau,Mamelodi Sundowns FC,Right Back,12.428704,0.14677931,0.099121116,-0.025070168,0.007603497,0.065124884,,0.019370748
81,George Nyiko Maluleka,AmaZulu FC,Right Defensive Midfielder,3.7857404,0.19175993,0.16610052,-0.06981283,-0.014433683,0.10990592,,0.04999155
82,Rivaldo Coetzee,Mamelodi Sundowns FC,Right Centre Back,14.952592,0.15303996,0.10867842,-0.026381,0.02113132,0.04961121,,0.022300577
83,Peter Shalulile,Mamelodi Sundowns FC,Centre Forward,18.595926,-0.0035564732,-0.020890484,0.007681728,0.0032902202,0.006362056,,0.51493293
84,Andile Ernest Jali,Swallows FC,Right Defensive Midfielder,10.257778,0.055713765,0.04521433,-0.010560973,0.015743786,0.0053166253,,0.0071275737
85,Lyle Lakay,SuperSport United FC,Left Centre Midfielder,19.868517,0.2621663,0.23887557,-0.031831015,0.028966889,0.026154863,,0.08557227
86,Themba Zwane,Mamelodi Sundowns FC,Centre Attacking Midfielder,13.453334,0.10918185,0.0362291,-0.035466257,0.018190335,0.09022866,,0.05532385
87,Thapelo James Morena,Mamelodi Sundowns FC,Right Back,8.968704,0.062455185,0.0021260302,0.040086165,-0.055745687,0.07598867,,0.17786135
88,Mosa Lebusa,Mamelodi Sundowns FC,Left Centre Back,13.932407,0.073750086,0.051810656,-0.02949865,0.024849856,0.02658823,,0.02399384
89,Sphelele Mkhulise,Mamelodi Sundowns FC,Centre Defensive Midfielder,13.089075,0.11453554,0.058826853,-0.025512177,0.02835469,0.052866187,,0.026899353
90,Mothobi Mvala,Mamelodi Sundowns FC,Left Centre Back,15.204073,0.25602207,0.16599777,-0.025459232,0.060778484,0.05470506,,0.026233295
91,Aubrey Maphosa Modiba,Mamelodi Sundowns FC,Left Back,14.468889,0.27865747,0.19554278,-0.014736406,-0.01466489,0.11251591,,0.131701
92,Jayden Adams,Stellenbosch FC,Left Defensive Midfielder,24.279074,0.19946773,0.061637796,0.010728465,0.039135553,0.087965935,,0.08258885
93,Ryan Moon,Lamontville Golden Arrows FC,Centre Forward,10.45537,0.08604699,0.04161996,-0.036663394,0.0027285987,0.07836182,,0.15011962
94,Alton Zitha Kwinika,Kaizer Chiefs FC,Right Back,12.562037,0.21013698,0.0848742,-0.014234384,0.11047939,0.0290178,,0.008994981
95,Marc van Heerden,Cape Town City FC,Left Centre Back,21.652777,0.2485052,0.18230253,-0.030020844,0.05048634,0.045737118,,0.039679475
96,Lee Langeveldt,Stellenbosch FC,Goalkeeper,1.0674074,0.21167654,0.1076904,,,0.1223559,-0.018369764,0.0
97,Sibusiso Mthethwa,Richards Bay FC,Right Centre Back,16.744999,0.08135893,0.030382864,-0.03981752,0.04375083,0.047042776,,0.03658093
98,Sage Shane Stephens,Stellenbosch FC,Goalkeeper,24.618702,0.14014044,0.10505965,,-0.000108653665,0.06936551,-0.03417605,0.0
99,Rafiq De Goede,Cape Town Spurs,Centre Back,3.7124074,0.017515816,0.0117388945,-0.0145221995,-0.010581099,0.030880209,,0.0116524305
100,Zaphaniah Mbokoma,Sekhukhune United,Left Attacking Midfielder,0.51092595,0.083263256,0.015575161,,-0.001941453,0.06962955,,0.0
101,Tlakusani Mthethwa,Swallows FC,Right Defensive Midfielder,12.412038,0.094966605,-0.011039944,-0.010430841,0.048059925,0.06837745,,0.00627069
102,Thabo Matlaba,Royal AM FC,Left Back,25.201853,0.18624248,0.13956438,0.018082755,-0.022389198,0.05098454,,0.038425278
103,Ruzaigh Gamildien,Royal AM FC,Centre Forward,4.326852,-0.16232537,-0.08696901,-0.039663773,-0.013476483,-0.022216093,,0.15267453
104,Njabulo Ngcobo,Kaizer Chiefs FC,Right Centre Back,8.860556,0.13247502,0.01388634,0.009056043,0.04459111,0.06494151,,0.09351462
105,Sammy Maphoko Seabi,Mamelodi Sundowns FC,Right Centre Midfielder,0.6898148,0.039755765,-0.0015744265,,0.018026577,0.023303606,,0.0
106,Sipho Sibiya,Swallows FC,Right Centre Back,4.8092594,-0.05651311,0.033181045,-0.030563604,-0.06900199,0.009871463,,0.039706524
107,Kagiso Joseph Malinga,Swallows FC,Left Centre Forward,9.321112,-0.052284323,-0.015869217,-0.057343915,0.01707755,0.0038512715,,0.054396782
108,Kagiso Joseph Malinga,Lamontville Golden Arrows FC,Left Wing,4.7283335,0.2812809,0.04721504,0.15253249,0.0406439,0.040889468,,0.21387409
109,Fawaaz Basadien,Stellenbosch FC,Left Back,25.080921,0.30604187,0.19213709,-0.014368055,0.066770464,0.061502315,,0.03083537
110,Mthokozisi Shwabule,Swallows FC,Left Back,1.7601852,-0.14395835,-0.06889498,,-0.06818498,-0.00687838,,0.0
111,Wandisile Letlabika,Swallows FC,Centre Back,0.39629632,0.31392148,0.32315108,,-0.031209094,0.021979453,,0.0
112,Thabo Nodada,Cape Town City FC,Right Defensive Midfielder,12.534815,0.064562224,0.0023026932,0.009230792,0.0044302423,0.048598494,,0.04460689
113,Craig Martin,Chippa United FC,Right Wing,14.658704,0.14613801,-0.013906055,0.034228988,0.0066696354,0.119145446,,0.2248794
114,Amethyst Bradley Ralani,Cape Town Spurs,Centre Attacking Midfielder,5.9824076,-0.0022901513,0.029516112,-0.10165477,0.020350946,0.049497586,,0.13802436
115,Thato Tsiliso Mokeke,Cape Town Spurs,Right Defensive Midfielder,4.974815,0.13188761,0.081869386,-0.009293574,0.036810756,0.022501023,,0.003614495
116,Thato Tsiliso Mokeke,Cape Town City FC,Left Defensive Midfielder,5.5944443,0.09091949,0.041389424,-0.0066899834,0.03287155,0.023348495,,0.006948335
117,Taariq Fielies,Cape Town City FC,Centre Back,1.2794445,-0.02262798,-0.036880564,,-0.036953013,0.05120559,,0.0
118,Taariq Fielies,AmaZulu FC,Left Centre Back,17.191298,0.1275334,0.03739161,-0.046353836,0.09336359,0.04313206,,0.03956176
119,Abbubaker Mobara,AmaZulu FC,Left Centre Back,14.505738,0.2866225,0.14305331,-0.02135472,0.09910517,0.065818734,,0.057162113
120,Tashreeq Morris,Sekhukhune United,Centre Forward,1.5027778,-0.30068794,-0.029979605,-0.26735315,0.110391416,-0.1137466,,0.36898074
121,Edmilson Gabriel Dove,Kaizer Chiefs FC,Left Centre Back,15.184814,0.14832754,0.09221566,-0.030347478,0.023761198,0.06269813,,0.027253889
122,Mduduzi Mdantsane,Kaizer Chiefs FC,Centre Attacking Midfielder,6.0114822,0.07707332,0.13643529,-0.05419719,0.01492787,-0.020092633,,0.05315666
123,Thamsanqa Innocent Mkhize,Cape Town City FC,Right Centre Back,23.571667,0.17801967,0.106198244,-0.032845393,0.03254162,0.07212521,,0.04613268
124,Terrence Mashego,Mamelodi Sundowns FC,Left Back,8.93574,0.08920109,0.045558207,-0.05065829,0.021160042,0.07314115,,0.078632616
125,Keanu Grégory Cupido,Cape Town City FC,Right Centre Back,26.794073,0.20626105,0.13618226,-0.008734643,0.02360082,0.055212617,,0.01842417
126,Thamsanqa Tshiamo Masiya,Sekhukhune United,Right Wing,3.3674073,0.5607307,0.030036658,0.39718664,0.04832526,0.085182205,,0.324658
127,Nhlanhla Mgaga,Stellenbosch FC,Left Defensive Midfielder,10.057223,0.072635405,-0.0031259109,-0.041325178,0.038162414,0.07892409,,0.040872492
128,Manuel Kambala,Polokwane City,Left Defensive Midfielder,16.58,0.10548799,0.0658883,-0.05632126,0.05318351,0.04273745,,0.051041238
129,Vusi Tshepo Sibiya,Swallows FC,Left Centre Back,16.56741,0.08812152,0.040331908,-0.014062283,0.02591124,0.03594065,,0.012655782
130,Evidence Makgopa,Orlando Pirates FC,Centre Forward,12.025,-0.16605964,-0.09664263,0.009635586,0.01261565,-0.09166826,,0.28918177
